vessel_id,timestamp,lat,lon,speed,course,vessel_type,acceleration,heading_rate,distance_to_shipping_lane_nm,distance_to_port_nm,time_since_last_ais_sec,is_anomaly
Vessel_1,2025-04-01 00:00:00,27.993292420985185,-89.21990679778781,31.09,267.4,Passenger,-0.23,1.1,0.04,10.92,31,0
Vessel_1,2025-04-01 00:05:00,27.993320913905663,-89.21991372822465,28.98,262.9,Passenger,0.11,-1.5,4.3,37.21,140,0
Vessel_1,2025-04-01 00:10:00,27.993744512262744,-89.21975755022193,27.48,269.1,Passenger,0.39,-2.2,4.55,20.35,44,0
Vessel_1,2025-04-01 00:15:00,27.99373550093318,-89.2198039768191,29.72,253.7,Passenger,-0.66,0.4,2.6,48.45,224,0
Vessel_1,2025-04-01 00:20:00,27.99208445515941,-89.21932959581792,29.77,271.7,Passenger,0.23,0.2,4.01,12.98,166,0
Vessel_1,2025-04-01 00:25:00,27.992453203461963,-89.22021601016367,28.83,266.6,Passenger,0.52,1.9,4.25,27.98,144,0
Vessel_1,2025-04-01 00:30:00,27.999130202187718,-89.21513322500444,30.32,270.3,Passenger,0.75,0.7,2.36,0.24,44,1
Vessel_1,2025-04-01 00:35:00,27.993420886072336,-89.22268939426826,26.89,267.6,Passenger,0.04,-0.6,0.7,34.18,231,0
Vessel_1,2025-04-01 00:40:00,27.99231590575743,-89.2204126632227,31.13,267.6,Passenger,0.15,1.8,4.02,17.46,293,0
Vessel_1,2025-04-01 00:45:00,27.992830486656338,-89.22056888409125,30.88,264.4,Passenger,-0.15,1.3,4.09,44.43,130,0
Vessel_1,2025-04-01 00:50:00,27.991679563868523,-89.21586628921968,28.09,261.4,Passenger,0.94,0.3,0.6,23.5,3600,1
Vessel_1,2025-04-01 00:55:00,27.993517585886796,-89.22085853820502,29.49,255.2,Passenger,-0.54,-2.0,2.06,11.32,139,0
Vessel_1,2025-04-01 01:00:00,27.998473369441257,-89.2169505296837,30.94,268.8,Passenger,-1.25,3.0,1.85,19.69,212,0
Vessel_1,2025-04-01 01:05:00,27.99214113488843,-89.21892340858949,29.86,263.4,Passenger,0.61,-0.8,0.93,11.63,196,0
Vessel_1,2025-04-01 01:10:00,27.99071803312933,-89.21556698145376,27.96,263.9,Passenger,-0.53,0.9,3.38,39.41,138,0
Vessel_1,2025-04-01 01:15:00,27.993331522684485,-89.2187734890119,31.38,265.5,Passenger,-0.31,-1.0,4.98,48.62,11,0
Vessel_1,2025-04-01 01:20:00,27.993640298743994,-89.21956835411733,29.36,264.4,Passenger,0.48,-2.1,3.9,35.68,63,0
Vessel_1,2025-04-01 01:25:00,27.990861575095156,-89.25279449111133,29.73,267.8,Passenger,0.08,-0.0,20.58,47.61,236,1
Vessel_1,2025-04-01 01:30:00,27.9964144471815,-89.21645650797744,29.5,261.6,Passenger,-0.23,-2.2,2.84,13.75,137,0
Vessel_1,2025-04-01 01:35:00,27.994343846022637,-89.21676350144148,28.62,259.4,Passenger,-0.04,0.7,1.75,35.8,235,0
Vessel_1,2025-04-01 01:40:00,27.99324608770606,-89.21914440296736,29.13,266.0,Passenger,1.39,-0.1,4.57,24.81,55,0
Vessel_1,2025-04-01 01:45:00,27.97335252103643,-89.23244164175063,29.98,263.2,Passenger,-0.06,-3.5,4.9,0.15,108,1
Vessel_1,2025-04-01 01:50:00,27.987547351747406,-89.22321014989731,30.6,261.8,Passenger,0.32,-2.2,4.24,15.46,282,0
Vessel_1,2025-04-01 01:55:00,27.989920845763983,-89.2190082040141,27.71,265.9,Passenger,-0.78,-1.0,3.99,36.0,45,0
Vessel_1,2025-04-01 02:00:00,27.99408453041611,-89.22401525659339,29.74,264.4,Passenger,-0.58,-3.0,2.33,31.71,60,0
Vessel_1,2025-04-01 02:05:00,28.00109432169085,-89.21926404278746,29.09,263.9,Passenger,-0.45,-0.7,3.11,13.41,117,0
Vessel_1,2025-04-01 02:10:00,28.020540934329052,-89.23624961122218,31.17,259.8,Passenger,-0.22,-3.3,29.64,30.65,153,1
Vessel_1,2025-04-01 02:15:00,28.00187213086099,-89.26343693508153,31.29,260.1,Passenger,0.47,2.5,0.87,0.31,138,1
Vessel_1,2025-04-01 02:20:00,28.00038712342063,-89.22386974679527,31.63,268.7,Passenger,-0.76,-1.0,1.71,13.67,194,0
Vessel_1,2025-04-01 02:25:00,28.040632348799203,-89.26138089774868,30.21,266.5,Passenger,-0.22,0.3,17.6,27.35,109,1
Vessel_1,2025-04-01 02:30:00,27.992077675830195,-89.21954141814511,29.57,275.3,Passenger,0.2,1.8,4.7,33.02,169,0
Vessel_1,2025-04-01 02:35:00,27.996016249253827,-89.22057948469691,28.89,274.1,Passenger,0.34,0.1,0.98,12.77,52,0
Vessel_1,2025-04-01 02:40:00,27.989310103129785,-89.22218192508969,29.02,264.6,Passenger,0.44,-0.9,3.14,45.1,123,0
Vessel_1,2025-04-01 02:45:00,27.981493788346434,-89.22796256047607,28.88,267.9,Passenger,0.28,-1.4,1.7,47.23,105,0
Vessel_1,2025-04-01 02:50:00,27.993375017246883,-89.21357644601679,31.06,261.3,Passenger,-0.2,0.5,1.6,45.82,226,0
Vessel_1,2025-04-01 02:55:00,27.98074810528424,-89.22303421237035,29.24,260.5,Passenger,0.96,2.1,2.77,18.51,34,0
Vessel_1,2025-04-01 03:00:00,27.99969310790398,-89.21633513530858,29.16,264.8,Passenger,0.16,3.4,4.19,27.04,262,0
